PAID	CID	Name	Inc	pa_name	pa_date	pa_comment	ended	enddate	c_duration	link	Mil_prov	Pol_prov	Terr_prov	Justice_prov	location	locationID
5002008021901	314	Uganda: government	2	Annex to the accountability and reconciliation protocol	2008-02-19	"Partial peace agreement
 
The annex provides measures to implement the June 29 agreement on Accountability and Reconciliation and in it the parties agree that a special division of the Ugandan High Court shall investigate and prosecute those who planned or carried out war crimes and ""widespread, systematic, or serious attacks"" on civilians during the conflict. It is furthermore stated that the traditional justice system, known as Mato Oput, shall supplement the national one and that the two shall serve as an alternative to the International Criminal Court (ICC). Furthermore, it provides for a commission to hold hearings and to analyse and preserve the history of the conflict. Another important aspect of the annex is that it stipulates for the government to establish mechanisms to make reparations to victims of the conflict."	1	2008-09-11	This agreement was concluded as part of the Juba Peace Process. The Juba process was supposed to be ended by a final agreement, after which all other agreements would be implemented.  The agreement was planned for 29 February 2008. The planned signing ceremony was rescheduled numerous times as Joseph Kony the leader of LRA failed to turn up due to different obstacles. On 11 April 2008 the government of Uganda stated that the signing had been put off and that the government had no plans to extend the Cessation of Hostilities Agreement unless circumstances significantly change. On 11 September chief mediator Riek Machar disbanded the cessation of hostilities monitoring team and declared the peace process over. LRA did not abide by the ceasefire and on 14 December 2008 Uganda launched military operations against LRA with US backing.	http://ucdp.uu.se/downloads/fullpeace/UGA%2020080219.pdf	0	0	0	1	Uganda	UGA
5002008012201	314	Uganda: government	2	Implementation protocol to the Agreement on Comprehensive Solutions	2008-02-22	"Partial peace agreement 

The protocol sets out the framework by which the 2 May 2007 Agreement on Comprehensive Solutions is to be implemented. Under the accord, recruitment into the armed forces and the security agencies and their composition are to reflect national numbers. It also stipulates that an ""Equal Opportunities Commission"" is to be set up after the signing of the Final Peace Agreement. This body will be charged with investigating any regional or ethnic imbalances and disparities in participation in government departments and institutions. Furthermore, it provides for the establishment of a ""diaspora desk"" in the foreign ministry that will be tasked with facilitating the return of Ugandans living abroad."	1	2008-09-11	This agreement was concluded as part of the Juba Peace Process. The Juba process was supposed to be ended by a final agreement, after which all other agreements would be implemented.  The agreement was planned for 29 February 2008. The planned signing ceremony was rescheduled numerous times as Joseph Kony the leader of LRA failed to turn up due to different obstacles. On 11 April 2008 the government of Uganda stated that the signing had been put off and that the government had no plans to extend the Cessation of Hostilities Agreement unless circumstances significantly change. On 11 September chief mediator Riek Machar disbanded the cessation of hostilities monitoring team and declared the peace process over. LRA did not abide by the ceasefire and on 14 December 2008 Uganda launched military operations against LRA with US backing.	http://ucdp.uu.se/downloads/fullpeace/UGA%2020080222.pdf	1	0	1	1	Uganda	UGA
5002008022301	314	Uganda: government	2	Agreement on a Permanent ceasefire	2008-02-23	"Partial Peace Agreement
 
The Permanent ceasefire provides for a truce to take effect 24 hours after the signing of the Final Peace Agreement. Furthermore, it stipulates that all forces of LRA shall be encamped within Ri-Kwang-Ba assembly area and that a buffer zone around it shall be respected. The former Cessation of Hostilities Monitoring Team (CHMT) is to be transformed into a Ceasefire Monitoring Team (CMT), composed of five representatives of each of the parties to the agreement, five members from each of the AU observer countries to the peace talks and a five-person liaison team from the UN. The CMT is to be lead by two senior officers in the SPLA."	1	2008-09-11	This agreement was concluded as part of the Juba Peace Process. The Juba process was supposed to be ended by a final agreement, after which all other agreements would be implemented.  The agreement was planned for 29 February 2008. The planned signing ceremony was rescheduled numerous times as Joseph Kony the leader of LRA failed to turn up due to different obstacles. On 11 April 2008 the government of Uganda stated that the signing had been put off and that the government had no plans to extend the Cessation of Hostilities Agreement unless circumstances significantly change. On 11 September chief mediator Riek Machar disbanded the cessation of hostilities monitoring team and declared the peace process over. LRA did not abide by the ceasefire and on 14 December 2008 Uganda launched military operations against LRA with US backing.	http://ucdp.uu.se/downloads/fullpeace/UGA%2020080223.pdf	1	0	0	0	Uganda	UGA
5002008022801	314	Uganda: government	2	Agreement on Disarmament, Demobilisation and Reintegration	2008-02-28	"Partial Peace Agreement
 
The Agreement on Disarmament, Demobilisation and Reintegration establishes that the Ceasefire Monitoring Team (CMT), provided for in the Agreement on a Permanent Ceasefire, shall be responsible for the implementation of the disarmament and demobilization process. The accord stipulates that the CMT is to adopt a Disarmament Operations Plan, which will provide e.g. the establishment of disarmament sites etc. On Demobilisation, the agreement stipulates that LRA will demobilize from encampments within the Ri-Kwan-Ba Assembly Area. After Disarmament and Demobilisation the CMT is responsible for arranging the ex-fighters' repatriation from Ri-Kwan-Ba to Uganda. Furthermore, the government is tasked with identifying and preparing reception points. When in Uganda, the former fighters have the right to chose either to join the army or to receive reintegration support to help them in their transition to civilian life. Under the accord, demobilized LRA combatants will retain their ranks, but they will not be recognized by the UPDF (Uganda People's Defence Force, the national armed forces)."	1	2008-09-11	This agreement was concluded as part of the Juba Peace Process. The Juba process was supposed to be ended by a final agreement, after which all other agreements would be implemented.  The agreement was planned for 29 February 2008. The planned signing ceremony was rescheduled numerous times as Joseph Kony the leader of LRA failed to turn up due to different obstacles. On 11 April 2008 the government of Uganda stated that the signing had been put off and that the government had no plans to extend the Cessation of Hostilities Agreement unless circumstances significantly change. On 11 September chief mediator Riek Machar disbanded the cessation of hostilities monitoring team and declared the peace process over. LRA did not abide by the ceasefire and on 14 December 2008 Uganda launched military operations against LRA with US backing.	http://ucdp.uu.se/downloads/fullpeace/UGA%2020080228.pdf	1	0	0	0	Uganda	UGA
5002008202901	314	Uganda: government	2	Agreement on Implementation and Monitoring Mechanisms	2008-02-29	"Partial Peace Agreement
 
The Agreement on Implementation and Monitoring Mechanisms concerns all the accords signed in the Juba process. It calls for a transitional period of one month - to commence immediately upon the signing of the Final Peace Agreement (FPA) - during which the government and the LRA shall prepare for implementation of the FPA. Under the accord, the parties shall agree on an Implementation Schedule which shall be attached to the Final Peace Agreement, setting out all relevant dates and timeframes. Furthermore, the Agreement on Implementation and Monitoring Mechanisms also provides for the establishment of an 'Oversight Forum' to oversee and monitor the implementation of the Final Peace Agreement and to provide advice and support to the parties and any relevant institutions established under the Final Peace Agreement. The Juba-process' Chief Mediator, Riek Machar shall chair the forum, while the UN Secretary General's Special Envoy for LRA affected areas, Joaquim Chissano, will be its Spokesperson. The agreement also stipulates for the creation of a Joint Liaison Group (JLG), which will monitor the implementation of the Final Peace Agreement on the ground in accordance with the Implementation Schedule and provide the Oversight Forum with progress reports."	1	2008-09-11	This agreement was concluded as part of the Juba Peace Process. The Juba process was supposed to be ended by a final agreement, after which all other agreements would be implemented.  The agreement was planned for 29 February 2008. The planned signing ceremony was rescheduled numerous times as Joseph Kony the leader of LRA failed to turn up due to different obstacles. On 11 April 2008 the government of Uganda stated that the signing had been put off and that the government had no plans to extend the Cessation of Hostilities Agreement unless circumstances significantly change. On 11 September chief mediator Riek Machar disbanded the cessation of hostilities monitoring team and declared the peace process over. LRA did not abide by the ceasefire and on 14 December 2008 Uganda launched military operations against LRA with US backing.	http://ucdp.uu.se/downloads/fullpeace/UGA%2020080229.pdf	0	0	0	0	Uganda	UGA
7021995081701	395	Tajikistan: government	2	Protocol on the Fundamental Principles of Establishing Peace and National Accord in Tajikistan	1995-08-17	"Peace process agreement
A peace process agreement was signed on 17 August 1995 between the government and the UTO rebels.

The agreement reaffirms an earlier ceasefire and outlines a process towards peace. Discussion would lead to six separate protocols solving political problems, military problems, refugee problems, a verifying commission, guarantees and a donors' conference to finance the repatriation, reintegration, demobilization and reconciliation process.

The military problems were to be solved through a restructuring of the armed forces and through rebel integration into this new force.

The political problems were to be solved by allowing for a multi-party democracy and the participation at all levels of government of the rebels."	0	2099-01-01		http://ucdp.uu.se/downloads/fullpeace/Taj%2019950817.pdf	1	0	0	0	Tajikistan	TJK
7021996122301	395	Tajikistan: government	2	Agreement between the President of the Republic of Tajikistan, E.S. Rakhmonov, and the leader of the United Tajik-Opposition, S.A. Huri, on the results of the meeting held in Moscow 23 December 1996	1996-12-23	"Partial peace agreement
Meetings held in Moscow between the parties led up to this partial peace agreement, regulating some aspects of the incompatibility, but not completely resolving it.

The first point in the agreement was a ceasefire, under which both parties agreed to a withdrawal from the frontline to defensive positions. UTO forces were also to relocate from Afghanistan to take part in a demobilization process. The parties agreed to create an integrated army, composed of both government and rebel forces. The same measure was applied to the police and security forces, with rebels being integrated into this sector as well. A Commission on National Reconciliation is established for the purpose of monitoring the demobilization and integration of the rebel forces.

The aforementioned Commission on National Reconciliation was also responsible for reforms of the political structure of Tajikistan. UTO representatives were to be integrated into the structures of executive authority; including ministries, departments, local authorities and judicial bodies.

The Commission was also responsible for setting up a Central Commission on Elections and the holding of a referendum on possible constitutional reforms. It would also monitor the exchange of prisoners and the resettlement of displaced persons.

A universal amnesty was also declared, to include both warring parties."	0	2099-01-01		http://ucdp.uu.se/downloads/fullpeace/Taj%2019961223.pdf	1	1	0	1	Tajikistan	TJK
7021997022101	395	Tajikistan: government	2	Statute of the Commission on National Reconciliation	1997-02-21	"Partial peace agreement
On 21 February 1997 three documents were signed by the parties: Statute of the Commission on National Reconciliation, Additional protocol to the protocol on the main functions and powers of the Commission on National Reconciliation and the Joint statement of 21 February 1997. 

The Statute of the Commission on National Reconciliation included specifications of how the Commission of National Reconciliation should be organized. The 26 members of the Commission was to be appointed by both the Government of Tajikistan and the UTO. The Commission was to comprise four subcommissions: (a) On political issues (b) On military issues (c) On refugee issues (d) On legal issues. The Commission was to monitor the compliace of the parties with the agreements, implement measures for the safe and appropriate return of the refugees and develop proposals for amending the legislation on the functioning of political parties and movements and the mass media. 

During the transition period the commission and the President would also submit to a nationwide referendum of proposals for amendments and additions to the existing Constitution; prepare a new law on elections to Parliament and the local representative bodies; establish a Central Electoral Commission; reform of the Government to include UTO in the structures of executive authority (members of the government), including ministries, departments, local authorities, judicial bodies and law enforcement agencies, taking the regional principle into account; and monitor the DDR process, monitor exchange of prisoners, adoption of a Reciprocal Pardon Act and drafting of an Amnesty Act to be adopted by the Parliament and the Commission on National Reconciliation."	0	2099-01-01		http://ucdp.uu.se/downloads/fullpeace/Taj%2019970221.pdf	0	1	0	1	Tajikistan	TJK
7021997051801	395	Tajikistan: government	2	Protocol on political issues	1997-05-18	"Partial peace agreement
Meetings held in Moscow between the parties led up to this partial peace agreement, regulating some aspects of the incompatibility, but not completely resolving it.

The first point in the agreement was a ceasefire, under which both parties agreed to a withdrawal from the frontline to defensive positions. UTO forces were also to relocate from Afghanistan to take part in a demobilization process. The parties agreed to create an integrated army, composed of both government and rebel forces. The same measure was applied to the police and security forces, with rebels being integrated into this sector as well. A Commission on National Reconciliation is established for the purpose of monitoring the demobilization and integration of the rebel forces.

The aforementioned Commission on National Reconciliation was also responsible for reforms of the political structure of Tajikistan. UTO representatives were to be integrated into the structures of executive authority; including ministries, departments, local authorities and judicial bodies.

The Commission was also responsible for setting up a Central Commission on Elections and the holding of a referendum on possible constitutional reforms. It would also monitor the exchange of prisoners and the resettlement of displaced persons.

A universal amnesty was also declared, to include both warring parties."	0	2099-01-01		http://ucdp.uu.se/downloads/fullpeace/Taj%2019970518.pdf	0	1	0	1	Tajikistan	TJK
7021997062701	395	Tajikistan: government	2	The Moscow Declaration - General agreement on the Establishment of Peace and National Accord in Tajikistan	1997-06-27	"Full peace agreement
The final peace agreement in Tajikistan’s peace process reaffirmed the earlier protocols, signed between 1995 and 1997, and concluded deals on all outstanding issues.

Extensive reforms of the military and security sector were agreed upon, with UTO rebel fighters being integrated into the national army. Those not integrated were to be the subjects of a DDR program. The agreement also stated that 30% of positions within the law enforcement agencies would be allocated to UTO members. Relocation of the troops and the integration and demobilization process would be monitored by the UN mission, UNMOT.

Political deals centered upon power-sharing in a number of established commission and committees charged with holding democratic elections and to work with the reconciliation in the country. UTO were to be represented in these commissions and committees through an equal number of chairman and co-chairmanships and a representation of 25-50%; the figure varying between the different institutions. The government was to be reformed to include UTO members (30%), and the commissions would agree upon political and electoral reforms to allow for multi-party elections in the future.

Further, a general amnesty was proclaimed and a protocol on refugee issues stated that all refugees and IDPs were to voluntarily return and be assisted in their resettlement. Consult the six protocols leading up to, and included in, this agreement for further details on the process."	0	2099-01-01	A year and a half after the Peace agreement was signed it was officially declared as implemented.	http://ucdp.uu.se/downloads/fullpeace/Taj%2019970627.pdf	1	1	0	1	Tajikistan	TJK
6251988111601	309	Sudan: government	2	DUP/SPLM Sudan Peace Agreement	1988-11-16	"Type: Partial peace agreement.
 
Talks in Addis Ababa between Democratic Unionist Party (DUP), one of three parties in Khartoums ruling coalition, and SPLM/A resulted in the signing on 16 November of the DUP/SPLM Sudan Peace Agreement also called the November Accords. 

The agreement between SPLM/A and DUP called for a ceasefire, the abrogation of all military agreements and the lifting of the state of emergency. 

The incompatibility would be solved through the holding of a national constitutional conference by 31 December 1988. The agreement also called for a freeze in the implementation of Islamic Sharia laws by the postponement of the introduction of the proposed new legal code until the national constitutional conference would be held."	1	1988-12-21	The agreement was to be of short duration due to events in the government later the same year. The opposition in the coalition government, National Islamic Front (NIF), did not accept the Addis Ababa agreement and were reluctant to freezing Islamic law and towards abrogating pacts with Egypt and Libya. NIF, which denounced the Addis Ababa talks as ‘conspiracy’ to block Islamic law, and the Prime Minister Sadiq al- Mahdi voted down a DUP amendment to recognize the terms of the SPLA-DUP accord. Although al-Mahdi initially encouraged the peace talks, he himself was not committed to the accord. Some observers have criticized this move from al-Mahdi as trying to appear to support peace while keeping the NIF in the Government. However, DUP resigned from government as of 27 December that year.	http://ucdp.uu.se/downloads/fullpeace/SUD%2019881116.pdf	1	1	0	0	Sudan	SDN
6252002072001	282	Sudan: government	2	Machakos Protocol	2002-07-20	Peace Process AgreementOn 20 July SPLM/A and the government signed a framework agreement, the Machakos Protocol, which included the general procedures for a transitional process and an agreement that further negotiations would be held to specify the terms of this framework. They also reached a specific agreement that was annexed to the framework with the purpose of subsequently being incorporated in the final agreement. The specifications included a six-year transition period, followed by an internationally supervised referendum for southern Sudan where one option was to be secession. During the transition period a broad-based government would rule in Khartoum and the southern states would be given some degree of autonomy. It further stated that Sharia law would be applied only in the north. There were however issues concerning sharing of power and wealth, human rights and a ceasefire that were still to be clarified.	0	2099-01-01		http://ucdp.uu.se/downloads/fullpeace/Sud%2020020720.pdf	0	0	1	0	Sudan	SDN
6252003092501	282	Sudan: government	2	Agreement on Security Arrangements During the Interim Period	2003-09-25	This is a partial agreement, part of the Machakos process. It posits e.g. that the forces of SPLA and the government shall remain separate, but they shall both be downsized. Furthermore, the two parties will merge forces in the three disputed areas.	0	2099-01-01		http://ucdp.uu.se/downloads/fullpeace/Sud%2020030925.pdf	1	0	1	0	Sudan	SDN
6252004010701	282	Sudan: government	2	Framework on Wealth Sharing During the Pre-Interim and Interim Period	2004-01-07	This is a partial agreement, part of the Machakos process. The most important point in the agreement is that the parties agree on a 50-50 split of oil revenues in southern Sudan. Moreover, separate banking systems are to be applied in the north and the south.	0	2099-01-01		http://ucdp.uu.se/downloads/fullpeace/Sud%2020040107.pdf	0	0	1	1	Sudan	SDN
